dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-18 21:39:34,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.21,1,0.6,1,0
1,2026-01-18 21:39:34,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",John Mayne was a Scottish poet and journalist.,0.616,,,1,1.0,0,0
2,2026-01-18 21:39:34,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.6,1,0
3,2026-01-18 21:39:34,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.6,1,0
4,2026-01-18 21:39:34,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Eleanor Davis is a cartoonist and illustrator (graphic novelist).,0.98,,,1,1.0,0,0
5,2026-01-18 21:39:34,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Dutch mathematician, economist, and politician (former corporate executive and professor)",0.869,,,1,1.0,0,0
6,2026-01-18 21:39:34,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entertainment executive, and entrepreneur (commonly described as a music manager)",0.95,,,1,1.0,0,0
7,2026-01-18 21:39:34,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.86,,,1,1.0,0,0
8,2026-01-18 21:39:34,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a judge (Lord Chief Justice and prominent British jurist).,0.9825,,,0,0.0,0,1
9,2026-01-18 21:39:34,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.91,,,1,1.0,0,0
10,2026-01-18 21:39:34,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,,,0,0.6,1,0
11,2026-01-18 21:39:34,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Canadian actor,0.74,,,1,1.0,0,0
12,2026-01-18 21:39:34,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]","He was a film director, actor, and former professional baseball player.",0.74,,,1,1.0,0,0
13,2026-01-18 21:39:34,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Edward Corser was an Australian politician (member of the Australian House of Representatives).,0.82,,,1,1.0,0,0
14,2026-01-18 21:39:34,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.82,,,1,1.0,0,0
15,2026-01-18 21:39:34,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","He was a Peruvian lawyer and politician (served as a politician, including Vice President and President of the Senate).",0.86,,,1,1.0,0,0
16,2026-01-18 21:39:34,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Edgar Allan Poe was an American writer, poet, editor, and literary critic (best known as a writer and poet).",0.98,,,1,1.0,0,0
17,2026-01-18 21:39:34,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Finlay is a writer (author/journalist).,0.25,0,0.6,1,0
18,2026-01-18 21:39:34,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.6,1,0
19,2026-01-18 21:39:34,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Japanese actress and model,0.8012,,,1,1.0,0,0
20,2026-01-18 21:39:34,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Austrian-German Marxist economist, finance minister, and leading member of the Social Democratic Party (i.e., economist and politician)",0.95,,,1,1.0,0,0
21,2026-01-18 21:39:34,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Peer and landowner (British hereditary peer),0.7423,,,0,0.0,0,1
22,2026-01-18 21:39:34,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and former idol (singer),0.86,,,1,1.0,0,0
23,2026-01-18 21:39:34,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.6,1,0
24,2026-01-18 21:39:34,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",American politician (Louisiana state senator),0.73,,,1,1.0,0,0
25,2026-01-18 21:39:34,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.6,1,0
26,2026-01-18 21:39:34,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]","Fairfax M. Cone was an advertising executive (advertiser) — he was a co-founder and long-time leader of the advertising agency Foote, Cone & Belding.",0.868,,,0,0.0,0,1
27,2026-01-18 21:39:34,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.992,,,1,1.0,0,0
28,2026-01-18 21:39:34,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",I don't know,,Test pilot (United States Air Force/experimental test pilot),0.25,1,0.6,1,0
29,2026-01-18 21:39:34,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]","Albert Bates is an author and permaculturist (environmental activist focusing on sustainable living, permaculture, and eco-village design).",0.72,,,0,0.0,0,1
30,2026-01-18 21:39:34,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",,,,,0,0.6,1,1
31,2026-01-18 21:39:34,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",I don't know,,,,0,0.6,1,0
32,2026-01-18 21:39:34,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",investigative journalist and author,0.89,,,1,1.0,0,0
33,2026-01-18 21:39:34,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist (manga creator/illustrator),0.92,,,1,1.0,0,0
34,2026-01-18 21:39:34,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Actress and model,0.82,,,0,0.0,0,1
35,2026-01-18 21:39:34,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]","Bruce McDaniel is a musician, songwriter, and record producer.",0.62,,,0,0.0,0,1
36,2026-01-18 21:39:34,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (U.S. Representative),0.86,,,1,1.0,0,0
37,2026-01-18 21:39:34,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.95,,,1,1.0,0,0
38,2026-01-18 21:39:34,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Edwin Wallock was an American film actor.,0.54,,,1,1.0,0,0
39,2026-01-18 21:39:34,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Japanese amateur astronomer and discoverer of comets and asteroids,0.82,,,1,1.0,0,0
40,2026-01-18 21:39:34,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]",Psychologist and author,0.9375,,,0,0.0,0,1
41,2026-01-18 21:39:34,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",I don't know,,Dominick Bellizzi was a jockey (horse racing jockey).,0.25,1,0.6,1,0
42,2026-01-18 21:39:34,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",I don't know,,,,0,0.6,1,0
43,2026-01-18 21:39:34,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]","She is a singer, songwriter and actress (also a musical performer and television presenter).",0.92,,,1,1.0,0,0
44,2026-01-18 21:39:34,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]","Brendan Canty is a musician and record producer, best known as the drummer for the post-hardcore band Fugazi.",0.76,,,1,1.0,0,0
45,2026-01-18 21:39:34,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.94,,,1,1.0,0,0
46,2026-01-18 21:39:34,1131,28889,What is Michael Arad's occupation?,"[""architect""]",Architect,0.9387,,,1,1.0,0,0
47,2026-01-18 21:39:34,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.8,,,1,1.0,0,0
48,2026-01-18 21:39:34,61,25692,What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Ole Krarup is a Danish politician and law professor (jurist).,0.8725,,,1,1.0,0,0
49,2026-01-18 21:39:34,75,28389,What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",Composer and pianist,0.86,,,1,1.0,0,0
50,2026-01-18 21:39:34,57,24952,What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]",Boutheina Jabnoun is a Tunisian politician and academic (a university professor) who has served as Tunisia's Minister of Vocational Training and Employment.,0.42,,,0,0.0,0,1
51,2026-01-18 21:39:34,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Robert Viharo is an American actor.,0.9467,,,1,1.0,0,0
52,2026-01-18 21:39:34,1494,81374,What is Ankita Sharma's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Ankita Sharma is an Indian television and film actress.,0.82,,,1,1.0,0,0
53,2026-01-18 21:39:34,31792,6776,What is Robby Krieger's occupation?,"[""guitarist"", ""guitar player"", ""guitarists""]","Musician (guitarist, songwriter)",0.98,,,1,1.0,0,0
54,2026-01-18 21:39:34,135900,20559,What is Paul's occupation?,"[""missionary"", ""Christian missionary""]",,,,,0,0.6,1,1
55,2026-01-18 21:39:34,206,25692,What is Shozaburo Nakamura's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Businessman and politician (Japanese politician; former Minister of Posts and Telecommunications),0.65,,,1,1.0,0,0
56,2026-01-18 21:39:34,1419,25550,What is Esquerita's occupation?,"[""pianist"", ""songwriter"", ""song writer""]","Singer, songwriter, and pianist",0.8725,,,1,1.0,0,0
57,2026-01-18 21:39:34,43,11157,What is Derek Wheatley's occupation?,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]",I don't know,,,,0,0.6,1,0
58,2026-01-18 21:39:34,86,12671,What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]",I don't know,,Surgeon (physician),0.25,1,0.6,1,0
59,2026-01-18 21:39:34,51,14886,What is Modou Dia's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Diplomat and politician,0.7325,,,1,1.0,0,0
