dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-19 09:53:47,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
1,2026-01-19 09:53:47,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,,,0,0.8,1,0
2,2026-01-19 09:53:47,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
3,2026-01-19 09:53:47,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
4,2026-01-19 09:53:47,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Illustrator and cartoonist (comic artist),0.92,,,1,1.0,0,0
5,2026-01-19 09:53:47,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Alexander Rinnooy Kan is a Dutch mathematician, economist, and business executive (he has served as a professor, researcher, and CEO/board member and was chair of the Social and Economic Council of the Netherlands).",0.8743,,,1,1.0,0,0
6,2026-01-19 09:53:47,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entrepreneur and entertainment executive (music manager)",0.92,,,1,1.0,0,0
7,2026-01-19 09:53:47,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.92,,,1,1.0,0,0
8,2026-01-19 09:53:47,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a British lawyer and judge (served as Lord Chief Justice and a leading jurist).,0.98,,,0,0.0,0,1
9,2026-01-19 09:53:47,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9123,,,1,1.0,0,0
10,2026-01-19 09:53:47,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Professional footballer (soccer player),0.32,0,0.8,1,0
11,2026-01-19 09:53:47,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.7143,,,1,1.0,0,0
12,2026-01-19 09:53:47,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Film director and actor,0.86,,,1,1.0,0,0
13,2026-01-19 09:53:47,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (member of the Australian House of Representatives),0.8725,,,1,1.0,0,0
14,2026-01-19 09:53:47,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.8725,,,1,1.0,0,0
15,2026-01-19 09:53:47,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Peruvian lawyer and politician; former Vice President and President of the Senate),0.92,,,1,1.0,0,0
16,2026-01-19 09:53:47,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Edgar Allan Poe was an American writer, poet, editor, and literary critic (best known as a writer and poet).",0.9875,,,1,1.0,0,0
17,2026-01-19 09:53:47,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,"John Finlay is a musician (specifically, a singer-songwriter/guitarist).",0.25,0,0.8,1,0
18,2026-01-19 09:53:47,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
19,2026-01-19 09:53:47,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",She is an actress and model.,0.8532,,,1,1.0,0,0
20,2026-01-19 09:53:47,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Economist and politician (Austrian-German Marxist economist; finance minister of Germany in the 1920s),0.94,,,1,1.0,0,0
21,2026-01-19 09:53:47,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He is a British hereditary peer and landowner (a British peer — 4th Baron O'Hagan).,0.8275,,,0,0.0,0,1
22,2026-01-19 09:53:47,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","Actress and former singer (former member of the Japanese idol group Momoiro Clover/Zombie Company? No — specifically she is an actress and former idol singer, formerly a member of Momoiro Clover)",0.5923,,,1,1.0,0,0
23,2026-01-19 09:53:47,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.8,1,0
24,2026-01-19 09:53:47,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Louisiana state senator and banker),0.8125,,,1,1.0,0,0
25,2026-01-19 09:53:47,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,,,0,0.8,1,1
26,2026-01-19 09:53:47,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]","Fairfax M. Cone was an advertising executive (co-founder and longtime chairman of the advertising agency Foote, Cone & Belding).",0.86,,,0,0.0,0,1
27,2026-01-19 09:53:47,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.9123,,,1,1.0,0,0
28,2026-01-19 09:53:47,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",Pilot (test pilot / aerospace engineer — former NASA research pilot),0.4125,,,1,1.0,0,0
29,2026-01-19 09:53:47,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]","Albert Bates is an environmentalist, author, and networker/organizer focused on permaculture, intentional communities, and climate change resilience (often described as an environmental activist and writer).",0.65,,,0,0.0,0,1
30,2026-01-19 09:53:47,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",,,,,0,0.8,1,1
31,2026-01-19 09:53:47,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",I don't know,,,,0,0.8,1,0
32,2026-01-19 09:53:47,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Canadian investigative journalist and author,0.89,,,1,1.0,0,0
33,2026-01-19 09:53:47,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist (manga artist and illustrator),0.98,,,1,1.0,0,0
34,2026-01-19 09:53:47,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Actress and model,0.5,,,0,0.0,0,1
35,2026-01-19 09:53:47,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]",I don't know,,,,0,0.8,1,0
36,2026-01-19 09:53:47,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician (U.S. Congressman),0.32,1,0.8,1,0
37,2026-01-19 09:53:47,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.98,,,1,1.0,0,0
38,2026-01-19 09:53:47,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Edwin Wallock was an American film actor.,0.89,,,1,1.0,0,0
39,2026-01-19 09:53:47,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Japanese amateur astronomer (astronomer),0.9876,,,1,1.0,0,0
