dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-19 23:51:59,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
1,2026-01-19 23:51:59,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,,,0,0.8,1,0
2,2026-01-19 23:51:59,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
3,2026-01-19 23:51:59,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Kathy Saltzman is a politician (former state legislator).,0.464,1,0.8,1,0
4,2026-01-19 23:51:59,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Illustrator and cartoonist (comic artist),0.92,,,1,1.0,0,0
5,2026-01-19 23:51:59,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Dutch mathematician, business executive, and politician (academic and operations researcher who served as professor, dean, CEO of ING Group's research/strategy roles, and as a senator)",0.32,,,1,1.0,0,0
6,2026-01-19 23:51:59,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entrepreneur, and record executive (best known as a music manager)",0.9567,,,1,1.0,0,0
7,2026-01-19 23:51:59,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.8765,,,1,1.0,0,0
8,2026-01-19 23:51:59,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a British lawyer and judge (Lord Chief Justice and later Lord Mansfield),0.98,,,0,-1.0,0,1
9,2026-01-19 23:51:59,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9412,,,1,1.0,0,0
10,2026-01-19 23:51:59,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Professional football (soccer) player,0.35,0,0.8,1,0
11,2026-01-19 23:51:59,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.745,,,1,1.0,0,0
12,2026-01-19 23:51:59,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Fred C. Newmeyer was an American film director (also an actor and former college football player).,0.74,,,1,1.0,0,0
13,2026-01-19 23:51:59,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Australian politician; member of the Australian House of Representatives),0.8765,,,1,1.0,0,0
