dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-09 12:22:09,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.4,1,0
1,2026-01-09 12:22:11,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",John Mayne was a Scottish poet and an early- to mid-18th-century printer (publisher).,0.67,,,0,-1.0,0,1
2,2026-01-09 12:22:12,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Henry Feilden was a British Arctic explorer and naturalist (also a soldier and Fellow of the Royal Society).,0.27,0,0.4,1,0
3,2026-01-09 12:22:14,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,"Kathy Saltzman is a politician (specifically, a former Minnesota state senator)",0.37,1,0.4,1,0
4,2026-01-09 12:22:15,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Eleanor Davis is a cartoonist and illustrator (graphic novelist).,0.82,,,1,1.0,0,0
5,2026-01-09 12:22:18,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","He is a Dutch mathematician, business economist, and former politician — known as an academic, operations researcher, corporate director, and former government minister (notably chairman of the Social and Economic Council of the Netherlands).",0.88,,,1,1.0,0,0
6,2026-01-09 12:22:20,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, businessman, and record executive (best known as a music manager and founder/CEO of SB Projects)",0.97,,,1,1.0,0,0
7,2026-01-09 12:22:22,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.92,,,1,1.0,0,0
8,2026-01-09 12:22:23,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",British lawyer and judge (Lord Chief Justice and influential jurist),0.91,,,0,-1.0,0,1
9,2026-01-09 12:22:24,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.8745,,,1,1.0,0,0
