dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-21 00:05:53,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,"George Rankin is a politician (e.g., a legislator)",0.25,1,0.6,1,0
1,2026-01-21 00:05:53,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,John Mayne was a poet (Scottish poet and printer).,0.4321,0,0.6,1,0
2,2026-01-21 00:05:53,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Henry Feilden was a British naturalist and Arctic explorer (also a soldier and conservationist).,0.73,,,0,-1.0,0,1
3,2026-01-21 00:05:53,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is a former politician; she served as a Minnesota state senator.,0.7612,,,1,1.0,0,0
4,2026-01-21 00:05:53,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Eleanor Davis is a cartoonist and illustrator (comic artist).,0.92,,,1,1.0,0,0
5,2026-01-21 00:05:53,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Economist, mathematician, and politician",0.92,,,1,1.0,0,0
6,2026-01-21 00:05:53,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager and music executive (artist manager, record executive, and entrepreneur)",0.97,,,1,1.0,0,0
7,2026-01-21 00:05:53,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Belgian politician,0.82,,,1,1.0,0,0
8,2026-01-21 00:05:53,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","He was a British judge (Lord Chief Justice and later Lord Chief Baron), a judge and politician—specifically Lord Chief Justice of the King’s Bench (Lord Mansfield).",0.88,,,1,1.0,0,0
9,2026-01-21 00:05:53,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.92,,,1,1.0,0,0
10,2026-01-21 00:05:53,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Football (soccer) player,0.2,0,0.6,1,0
