dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-16 18:08:21,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
1,2026-01-16 18:08:23,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Poet,0.25,0,0.8,1,0
2,2026-01-16 18:08:25,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Naturalist (British Army officer and Arctic explorer/naturalist),0.42,0,0.8,1,0
3,2026-01-16 18:08:27,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Kathy Saltzman is a politician (former state legislator).,0.64,1,0.8,1,0
4,2026-01-16 18:08:28,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Illustrator and cartoonist,0.98,,,1,1.0,0,0
5,2026-01-16 18:08:30,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Mathematician, economist, and politician (academic, professor, and former government official)",0.875,,,1,1.0,0,0
6,2026-01-16 18:08:32,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","He is a talent manager, entrepreneur, and music executive (often described as an American talent manager and record executive).",0.98,,,1,1.0,0,0
7,2026-01-16 18:08:34,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.88,,,1,1.0,0,0
8,2026-01-16 18:08:37,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","He was a British judge (Lord Chief Justice and later Lord Chief Baron), commonly referred to as a jurist and judge.",0.84,,,0,-1.0,0,1
9,2026-01-16 18:08:38,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.85,,,1,1.0,0,0
10,2026-01-16 18:08:39,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Football (soccer) player,0.42,0,0.8,1,0
11,2026-01-16 18:08:41,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.88,,,1,1.0,0,0
12,2026-01-16 18:08:42,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]","Film director, actor, and film editor (American film director)",0.82,,,1,1.0,0,0
13,2026-01-16 18:08:43,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,,,1,1.0,0,0
14,2026-01-16 18:08:45,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actress,0.65,1,0.8,1,0
15,2026-01-16 18:08:46,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and lawyer,0.86,,,1,1.0,0,0
16,2026-01-16 18:08:47,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","American writer, poet, editor, and literary critic",0.98,,,1,1.0,0,0
17,2026-01-16 18:08:49,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Finlay is a professional football (soccer) player.,0.32,0,0.8,1,0
18,2026-01-16 18:08:50,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
19,2026-01-16 18:08:52,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Actress and tarento (Japanese television personality),0.8147,,,1,1.0,0,0
20,2026-01-16 18:08:54,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Austrian-German Marxist economist, politician and finance minister (i.e., economist and Social Democratic politician)",0.91,,,1,1.0,0,0
21,2026-01-16 18:08:55,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He is a British peer and a chartered accountant (businessman/financial professional).,0.43,,,0,-1.0,0,1
22,2026-01-16 18:08:57,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and singer (former idol; former member of idol group Momoiro Clover),0.83,,,1,1.0,0,0
23,2026-01-16 18:08:58,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actor,0.25,1,0.8,1,0
