dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-17 22:52:31,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,George Rankin is a politician (member of a legislative assembly).,0.25,1,0.4,1,0
1,2026-01-17 22:52:31,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,John Mayne was a poet (Scottish poet).,0.53,0,0.4,1,0
2,2026-01-17 22:52:31,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Henry Feilden was a British naturalist (ornithologist) and explorer.,0.4321,0,0.4,1,0
3,2026-01-17 22:52:31,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is an American politician who served as a member of the Minnesota State Senate.,0.59,,,1,1.0,0,0
4,2026-01-17 22:52:31,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Eleanor Davis is a cartoonist and illustrator (comic book artist/graphic novelist).,0.9123,,,1,1.0,0,0
5,2026-01-17 22:52:31,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Mathematician, economist, and politician",0.94,,,1,1.0,0,0
6,2026-01-17 22:52:31,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","American talent manager, entrepreneur, and record executive (best known as a music manager)",0.93,,,1,1.0,0,0
7,2026-01-17 22:52:31,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,,,1,1.0,0,0
8,2026-01-17 22:52:31,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a British judge (Lord Chief Justice and later Lord Chief Baron of the Exchequer; a prominent jurist and Lord Chief Justice as 1st Earl of Mansfield).,0.88,,,0,0.0,0,1
9,2026-01-17 22:52:31,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.98,,,1,1.0,0,0
