dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-24 16:32:02,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0.6,1,0
1,2026-01-24 16:32:02,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Author,0.5,0,0.6,1,0
2,2026-01-24 16:32:02,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Architect,0.5,0,0.6,1,0
3,2026-01-24 16:32:02,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0.6,1,0
4,2026-01-24 16:32:02,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Cartoonist and illustrator,0.95,,,1,1.0,0,0
5,2026-01-24 16:32:02,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]",Politician and economist,0.85,,,1,1.0,0,0
6,2026-01-24 16:32:02,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",Music manager and entrepreneur,0.95,,,1,1.0,0,0
7,2026-01-24 16:32:02,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.5,0,0.6,1,0
8,2026-01-24 16:32:02,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Lawyer,0.95,,,0,-1.0,0,1
9,2026-01-24 16:32:02,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Academic,0.5,0,0.6,1,0
10,2026-01-24 16:32:02,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Actor,0.3,0,0.6,1,0
11,2026-01-24 16:32:02,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Author,0.3,0,0.6,1,0
12,2026-01-24 16:32:02,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Linguist,0.95,,,0,-1.0,0,1
13,2026-01-24 16:32:02,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0.6,1,0
14,2026-01-24 16:32:02,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actress,0.6,1,0.6,1,0
15,2026-01-24 16:32:02,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.3,1,0.6,1,0
